"Gesamttitel","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
140211999,0,20,20,20,20,20,20,20,20,20
140212501,476.3,480,20,20,20,135,135,135,200,350
140235902,0,0,0,0,0,0,0,0,0,0
140238101,0,0,0,115,115,115,115,115,NA,NA
140242703,35,0,0,0,0,0,0,0,0,0
140251101,1300,1500,1450,1450,1100,1100,1050,1050,1050,790
140251102,103,55,60,50,50,60,55,55,55,70
140251103,50,50,15,15,15,15,15,15,15,0
140251143,1921.7,2003,1800,1510,1720,1750,1750,2000,2000,1687.4
140251144,0,79.3,126.3,161,204.2,310,320,310,320,4879.4
140251802,11000,13815,13482.9,14300,14000,14500,15600,15735,15735,15800
140252537,1600,1000,1000,1000,1200,1500,1500,1500,1400,1585.8
140252699,0,0,0,0,0,0,0,0,NA,NA
140252706,310,250,250,250,250,270,270,270,270,335.5
140253302,NA,0,2000,2000,1500,1500,1750,5000,5000,5292
140253303,8495,7300,9160,9000,8660,17750,20300,25800,28200,22458
140253304,11831,11000,11600,11500,11936,0,0,NA,NA,NA
140253356,45240.1,49853,54682.9,54026.8,69100.3,90867.4,82170,94491,120577,112575.1
140253413,599.8,504,550,660,680,770,770,770,0,NA
140253503,288.4,40,13.5,10,20,20,20,140,140,43
140253602,1,1,1,1,1,1,1,1,1,1
140253703,0,35,35,0,0,0,0,0,0,0
140263102,186,115,745.3,600,490,554,554,554,554,1904.5
140263206,2629,2300,3340.5,3100,3400,5300,5600,5600,7800,10566.7
140268504,590,350,279.8,260,270,397,397,397,397,631.3
140271101,44,5,1,1,1,1,10,10,10,10
140271131,406,0,0,0,0,0,0,0,0,0
140281201,NA,0,0,0,0,0,0,0,0,0
140281202,0,0,0,0,0,0,0,0,0,0
140281246,13000,10040,9240.1,9136.7,6800,6385.5,5729.5,6729.5,6832.4,13196.3
140291902,0,0,0,0,0,0,0,0,0,0
140335601,NA,NA,1000,1000,1000,1000,1000,1000,1000,0
140335905,0,0,0,0,0,0,0,NA,NA,NA
140353306,NA,NA,NA,0,1000,1000,1000,1000,1000,1000
140363313,2000,1500,1500,1000,0,0,0,NA,NA,NA
140368501,0,0,0,0,0,0,0,2872,2972,NA
140368502,1000,1000,1000,1000,1000,1000,1000,0,NA,NA
140453401,358.7,171,136,166.5,64,50,0,NA,NA,NA
140453402,41.3,50,50,20,0,0,0,NA,NA,NA
140453501,0,0,35,35,95,0,0,0,45,45
140468502,500,391,372,372,372,372,0,NA,NA,NA
140551101,NA,12,12,20,24,24,24,24,24,33.1
140551701,NA,50,50,200,230,230,230,230,230,0
140552501,NA,15,10,15,25,20,20,20,20,15
140552701,NA,18,18,6.7,8,8,8,8,8,5
140553301,NA,200,2631,7001,8040,9243,12100,11300,13850,13035.8
140553501,NA,5,5,5,5,5,5,5,5,0
140581201,NA,2440,4171.5,641,670,670,670,670,670,1089.7
