"Gesamttitel","Jahr","Ist","Soll","Soll-Ist","IstDiff1","SollDiff1","IstDiff2","SollDiff2"
"140368502","2020",NA,NA,NA,NA,NA,NA,NA
"140453401","2020",NA,NA,NA,NA,NA,NA,NA
"140453402","2020",NA,NA,NA,NA,NA,NA,NA
"140453501","2020",13.3,45,31.7,-0.92,Inf,Inf,Inf
"140468502","2020",NA,NA,NA,NA,NA,NA,NA
"140551101","2020",10,24,14,-3.02,0,-0.93,0
"140551701","2020",0,230,230,0,0,-Inf,0
"140552501","2020",6.5,20,13.5,-4.35,0,-1.22,0
"140552701","2020",0.9,8,7.1,-7.67,0,-1,0
"140553301","2020",9963,13850,3887,-0.08,0.23,0,0.14
"140553501","2020",0.2,5,4.8,Inf,0,1,0
"140581201","2020",8.8,670,661.2,-51.52,0,-108.52,0
"140211999","2019",1.6,20,18.4,-41,0,-0.12,0
"140212501","2019",345.4,135,-210.4,0.36,0,0.89,0
"140235902","2019",0,0,0,0,0,0,0
"140238101","2019",NA,115,NA,NA,0,NA,0
"140242703","2019",44.5,0,-44.5,1.37,0,0.22,0
"140251101","2019",946.7,1050,103.3,-0.06,0,-0.06,-0.05
"140251102","2019",68.2,55,-13.2,-0.49,0,-1.66,-0.09
"140251103","2019",0,15,15,-Inf,0,-Inf,0
"140251143","2019",1830.4,2000,169.6,0.12,0.14,-0.07,0.14
"140251144","2019",552.3,310,-242.3,0.17,-0.03,1.18,0
"140251802","2019",15125,15735,610,0.01,0.01,-0.03,0.09
"140252537","2019",1159.1,1500,340.9,-0.04,0,-0.1,0
"140252699","2019",NA,0,NA,NA,0,NA,0
"140252706","2019",305.9,270,-35.9,0.21,0,0.21,0
"140253302","2019",1770.5,5000,3229.5,0.24,1.86,1.24,2.33
"140253303","2019",18413.2,25800,7386.8,-0.09,0.27,1.1,0.45
"140253304","2019",NA,NA,NA,NA,NA,NA,NA
"140253356","2019",104084.3,94491,-9593.3,0.22,0.15,0.23,0.04
"140253413","2019",0,770,770,-Inf,0,-Inf,0
"140253503","2019",124.5,140,15.5,2.41,6,3.14,6
"140253602","2019",0.5,1,0.5,0,0,0,0
"140253703","2019",0,0,0,0,0,0,0
"140263102","2019",663.3,554,-109.3,0.29,0,0.3,0
"140263206","2019",5692.9,5600,-92.8999999999996,0.07,0,0.23,0.06
"140268504","2019",619.1,397,-222.1,0.83,0,0.86,0
"140271101","2019",-35,10,45,2.2,0,1,9
"140271131","2019",0,0,0,0,0,-Inf,0
"140281201","2019",0,0,0,0,0,0,0
"140281202","2019",151.2,0,-151.2,-1.02,0,Inf,0
"140281246","2019",15614,6729.5,-8884.5,0.85,0.17,1.4,0.05
"140291902","2019",0,0,0,0,0,-Inf,0
"140335601","2019",1000,1000,0,4,0,0.03,0
"140335905","2019",NA,NA,NA,NA,NA,NA,NA
"140353306","2019",398.2,1000,601.8,0.05,0,-0.04,0
"140363313","2019",NA,NA,NA,NA,NA,NA,NA
"140368501","2019",2872,2872,0,Inf,Inf,Inf,Inf
"140368502","2019",NA,0,NA,NA,-Inf,NA,-Inf
"140453401","2019",NA,NA,NA,NA,NA,NA,NA
"140453402","2019",NA,NA,NA,NA,NA,NA,NA
"140453501","2019",25.6,0,-25.6,Inf,0,Inf,0
"140468502","2019",NA,NA,NA,NA,NA,NA,NA
"140551101","2019",40.2,24,-16.2,1.08,0,2.62,0
"140551701","2019",0,230,230,-Inf,0,-Inf,0
"140552501","2019",34.8,20,-14.8,1.42,0,0.88,0
"140552701","2019",7.8,8,0.2,3.33,0,-0.06,0
"140553301","2019",10803.7,11300,496.299999999999,0.08,-0.07,0.12,0.22
"140553501","2019",0,5,5,-Inf,0,0,0
"140581201","2019",462.2,670,207.8,-1.09,0,53.38,0
"140211999","2018",67.2,20,-47.2,36.33,0,0.45,0
"140212501","2018",254.8,135,-119.8,0.39,0,0.37,5.75
"140235902","2018",0,0,0,0,0,-Inf,0
"140238101","2018",0,115,115,0,0,0,0
"140242703","2018",18.8,0,-18.8,-0.94,0,-0.52,0
"140251101","2018",1006.9,1050,43.1,0,-0.05,-0.02,-0.05
"140251102","2018",101.8,55,-46.8,-0.78,-0.09,0.95,0.1
"140251103","2018",1.9,15,13.1,-1.37,0,-3.32,0
"140251143","2018",1640.6,1750,109.4,-0.2,0,-0.08,0.02
"140251144","2018",471.9,320,-151.9,0.86,0.03,1.57,0.57
"140251802","2018",15013.5,15600,586.5,-0.04,0.08,0.02,0.11
"140252537","2018",1202,1500,298,-0.06,0,0.04,0.25
"140252699","2018",0,0,0,0,0,0,0
"140252706","2018",252.6,270,17.4,0,0,0.07,0.08
"140253302","2018",1427,1750,323,0.8,0.17,23.02,0.17
"140253303","2018",20136.4,20300,163.599999999999,1.3,0.14,0.13,1.34
"140253304","2018",NA,0,NA,NA,0,NA,-Inf
"140253356","2018",85381.4,82170,-3211.39999999999,0.01,-0.11,0.16,0.19
"140253413","2018",964.3,770,-194.3,0.34,0,0.4,0.13
"140253503","2018",36.5,20,-16.5,0.21,0,4.21,0
"140253602","2018",0.5,1,0.5,0,0,0,0
"140253703","2018",0,0,0,0,0,-Inf,0
"140263102","2018",515.3,554,38.7,0.01,0,-0.15,0.13
"140263206","2018",5317.9,5600,282.1,0.15,0.06,0.38,0.65
"140268504","2018",339.2,397,57.8,0.02,0,-0.45,0.47
"140271101","2018",41.9,10,-31.9,Inf,9,138.67,9
"140271131","2018",0,0,0,-Inf,0,-Inf,0
"140281201","2018",0,0,0,0,0,0,0
"140281202","2018",304.9,0,-304.9,Inf,0,Inf,0
"140281246","2018",8462.7,5729.5,-2733.2,0.3,-0.11,0.5,-0.19
"140291902","2018",0,0,0,-Inf,0,0,0
"140335601","2018",200,1000,800,-3.88,0,-3.42,0
"140335905","2018",NA,0,NA,NA,0,NA,0
"140353306","2018",378.1,1000,621.9,-0.09,0,-0.36,0
"140363313","2018",NA,0,NA,NA,0,NA,0
"140368501","2018",0,0,0,0,0,-1,0
"140368502","2018",200,1000,800,-3.88,0,-3.42,0
"140453401","2018",NA,0,NA,NA,-Inf,NA,-Inf
"140453402","2018",NA,0,NA,NA,0,NA,0
"140453501","2018",0,0,0,0,0,0,-Inf
"140468502","2018",NA,0,NA,NA,-Inf,NA,-Inf
"140551101","2018",19.3,24,4.7,0.74,0,0.34,0
"140551701","2018",40.1,230,189.9,-6.02,0,-4.7,0
"140552501","2018",14.4,20,5.6,-0.28,0,0.24,-0.25
"140552701","2018",1.8,8,6.2,-3.61,0,-1.83,0
"140553301","2018",9982.9,12100,2117.1,0.04,0.31,0.24,0.5
"140553501","2018",0.1,5,4.9,Inf,0,Inf,0
"140581201","2018",963.8,670,-293.8,112.39,0,1.27,0
"140211999","2017",1.8,20,18.2,-24.67,0,Inf,0
"140212501","2017",183,135,-48,-0.02,5.75,1.46,5.75
"140235902","2017",0,0,0,-Inf,0,-Inf,0
"140238101","2017",0,115,115,0,0,0,0
"140242703","2017",36.5,0,-36.5,0.28,0,Inf,0
"140251101","2017",1003.4,1100,96.6,-0.02,0,-0.08,-0.32
"140251102","2017",181.7,60,-121.7,2.49,0.2,2.22,0.2
"140251103","2017",4.5,15,10.5,-0.82,0,-0.71,0
"140251143","2017",1962.1,1750,-212.1,0.11,0.02,0.12,0.16
"140251144","2017",253.2,310,56.8,0.38,0.52,0.07,0.93
"140251802","2017",15639.9,14500,-1139.9,0.06,0.04,0.11,0.01
"140252537","2017",1277.1,1500,222.9,0.11,0.25,0.11,0.5
"140252699","2017",0,0,0,0,0,0,0
"140252706","2017",252.1,270,17.9,0.06,0.08,0.19,0.08
"140253302","2017",791.8,1500,708.2,12.33,0,4.83,-0.33
"140253303","2017",8752,17750,8998,-1.04,1.05,0.17,0.97
"140253304","2017",8749.5,0,-8749.5,Inf,-Inf,-0.12,-Inf
"140253356","2017",84445.3,90867.4,6422.09999999999,0.14,0.32,0.26,0.68
"140253413","2017",718.3,770,51.7,0.04,0.13,0.01,0.17
"140253503","2017",30.1,20,-10.1,3.3,0,1.25,1
"140253602","2017",0.5,1,0.5,0,0,0,0
"140253703","2017",0,0,0,-Inf,0,0,0
"140263102","2017",508.8,554,45.2,-0.17,0.13,-0.14,-0.08
"140263206","2017",4633,5300,667,0.2,0.56,0.41,0.71
"140268504","2017",332.3,397,64.7,-0.48,0.47,1.14,0.53
"140271101","2017",0,1,1,-Inf,0,-Inf,0
"140271131","2017",132.9,0,-132.9,-1.37,0,Inf,0
"140281201","2017",0,0,0,0,0,0,0
"140281202","2017",0,0,0,0,0,0,0
"140281246","2017",6503,6385.5,-117.5,0.15,-0.06,-0.03,-0.43
"140291902","2017",6615,0,-6615,Inf,0,Inf,0
"140335601","2017",975,1000,25,0.1,0,0.31,0
"140335905","2017",0,0,0,0,0,-Inf,0
"140353306","2017",413.7,1000,586.3,-0.24,0,Inf,Inf
"140363313","2017",0,0,0,0,0,0,-Inf
"140368501","2017",0,0,0,-1,0,-Inf,0
"140368502","2017",975,1000,25,0.1,0,0.31,0
"140453401","2017",0,50,50,-Inf,-0.28,-Inf,-2.33
"140453402","2017",0,0,0,0,0,0,-Inf
"140453501","2017",0,0,0,0,-Inf,-Inf,-Inf
"140468502","2017",0,372,372,-Inf,0,-Inf,0
"140551101","2017",11.1,24,12.9,-0.3,0,-0.03,0.2
"140551701","2017",281.5,230,-51.5,0.23,0,0.25,0.15
"140552501","2017",18.5,20,1.5,0.59,-0.25,0.13,0.33
"140552701","2017",8.3,8,-0.300000000000001,0.63,0,-0.58,0.19
"140553301","2017",9627.9,9243,-384.9,0.2,0.15,0.3,0.32
"140553501","2017",0,5,5,0,0,-Inf,0
"140581201","2017",8.5,670,661.5,-48.88,0,-0.76,0.05
"140211999","2016",46.2,20,-26.2,Inf,0,2,0
"140212501","2016",186.1,20,-166.1,1.5,0,1.99,0
"140235902","2016",2767,0,-2767,-1.06,0,Inf,0
"140238101","2016",0,115,115,0,0,0,Inf
"140242703","2016",28.6,0,-28.6,Inf,0,Inf,0
"140251101","2016",1024.5,1100,75.5,-0.06,-0.32,0.01,-0.32
"140251102","2016",52.1,50,-2.1,-0.08,0,0.51,-0.2
"140251103","2016",8.2,15,6.8,0.06,0,19.5,0
"140251143","2016",1775.4,1720,-55.4000000000001,0.02,0.14,0.02,-0.05
"140251144","2016",183.7,204.2,20.5,-0.29,0.27,0,0.62
"140251802","2016",14698.3,14000,-698.299999999999,0.04,-0.02,0.07,0.04
"140252537","2016",1152.7,1200,47.3,0,0.2,0.02,0.2
"140252699","2016",0,0,0,0,0,0,0
"140252706","2016",236.9,250,13.1,0.11,0,0.11,0
"140253302","2016",59.4,1500,1440.6,-1.29,-0.33,-2.04,-0.33
"140253303","2016",17845,8660,-9185,1.38,-0.04,1.25,-0.06
"140253304","2016",0,11936,11936,-Inf,0.04,-Inf,0.03
"140253356","2016",73888.7,69100.3,-4788.39999999999,0.1,0.28,0.26,0.26
"140253413","2016",687.8,680,-7.79999999999995,-0.03,0.03,0.02,0.24
"140253503","2016",7,20,13,-0.91,1,-0.91,0.48
"140253602","2016",0.5,1,0.5,0,0,0,0
"140253703","2016",31.8,0,-31.8,Inf,0,Inf,-Inf
"140263102","2016",593.5,490,-103.5,0.02,-0.22,0.2,-0.52
"140263206","2016",3849.6,3400,-449.6,0.17,0.1,0.14,0.02
"140268504","2016",493,270,-223,2.17,0.04,0.82,-0.04
"140271101","2016",0.3,1,0.7,-0.67,0,-0.67,0
"140271131","2016",315.3,0,-315.3,Inf,0,18.71,0
"140281201","2016",0,0,0,0,0,0,0
"140281202","2016",0,0,0,0,0,0,0
"140281246","2016",5648.3,6800,1151.7,-0.18,-0.34,-0.07,-0.36
"140291902","2016",0,0,0,0,0,-Inf,0
"140335601","2016",884.2,1000,115.8,0.19,0,0.26,0
"140335905","2016",0,0,0,-Inf,0,0,0
"140353306","2016",513,1000,487,Inf,Inf,Inf,NA
"140363313","2016",0,0,0,0,-Inf,0,-Inf
"140368501","2016",-8.7,0,8.7,308.91,0,157.28,0
"140368502","2016",884.2,1000,115.8,0.19,0,0.26,0
"140453401","2016",4.4,64,59.6,43,-1.6,-15.84,-1.12
"140453402","2016",0,0,0,0,-Inf,0,-Inf
"140453501","2016",0,95,95,-Inf,1.71,-Inf,1.71
"140468502","2016",216.6,372,155.4,0.21,0,0.08,0
"140551101","2016",14.4,24,9.6,0.26,0.2,-0.6,1
"140551701","2016",228.4,230,1.59999999999999,0.01,0.15,0.23,3.6
"140552501","2016",11.6,25,13.4,-0.41,0.67,-2.09,1.5
"140552701","2016",5.1,8,2.9,-1.57,0.19,-2.53,-1.25
"140553301","2016",8046.2,8040,-6.19999999999982,0.09,0.15,1.14,2.06
"140553501","2016",0,5,5,-Inf,0,-Inf,0
"140581201","2016",424,670,246,27.27,0.05,0.34,-5.23
"140211999","2015",0,20,20,-Inf,0,-Inf,0
"140212501","2015",74.4,20,-54.4,0.2,0,-6.28,-23
"140235902","2015",5700,0,-5700,Inf,0,0.75,0
"140238101","2015",0,115,115,0,Inf,0,Inf
"140242703","2015",0,0,0,0,0,0,0
"140251101","2015",1082.4,1450,367.6,0.06,0,-0.06,-0.03
"140251102","2015",56.4,50,-6.4,0.63,-0.2,0.41,-0.1
"140251103","2015",7.7,15,7.3,18.25,0,Inf,-2.33
"140251143","2015",1744.5,1510,-234.5,0,-0.19,0.16,-0.33
"140251144","2015",237.6,161,-76.6,0.3,0.27,0.48,1.03
"140251802","2015",14141.7,14300,158.299999999999,0.03,0.06,-0.01,0.04
"140252537","2015",1152.2,1000,-152.2,0.02,0,0.23,0
"140252699","2015",0,0,0,0,0,0,0
"140252706","2015",212.6,250,37.4,0,0,-0.05,0
"140253302","2015",135.8,2000,1864.2,-0.33,0,Inf,Inf
"140253303","2015",7491.8,9000,1508.2,-0.06,-0.02,0,0.23
"140253304","2015",9804.5,11500,1695.5,-0.03,-0.01,-0.15,0.05
