"Gesamttitel","Jahr","Ist","Soll","Soll-Ist","IstDiff1","SollDiff1","IstDiff2","SollDiff2"
"140251103","2012",10.8,50,39.2,NA,NA,NA,NA
"140251143","2012",1657.4,1921.7,264.3,NA,NA,NA,NA
"140251144","2012",76.8,0,-76.8,NA,NA,NA,NA
"140251802","2012",13365,11000,-2365,NA,NA,NA,NA
"140252537","2012",851.1,1600,748.9,NA,NA,NA,NA
"140252699","2012",0,0,0,NA,NA,NA,NA
"140252706","2012",240.6,310,69.4,NA,NA,NA,NA
"140253302","2012",0,NA,NA,NA,NA,NA,NA
"140253303","2012",8476.5,8495,18.5,NA,NA,NA,NA
"140253304","2012",11434.4,11831,396.6,NA,NA,NA,NA
"140253356","2012",53743.2,45240.1,-8503.1,NA,NA,NA,NA
"140253413","2012",516.3,599.8,83.5,NA,NA,NA,NA
"140253503","2012",22.2,288.4,266.2,NA,NA,NA,NA
"140253602","2012",0.5,1,0.5,NA,NA,NA,NA
"140253703","2012",0,0,0,NA,NA,NA,NA
"140263102","2012",237.8,186,-51.8,NA,NA,NA,NA
"140263206","2012",2512.2,2629,116.8,NA,NA,NA,NA
"140268504","2012",257,590,333,NA,NA,NA,NA
"140271101","2012",0.1,44,43.9,NA,NA,NA,NA
"140271131","2012",292.1,406,113.9,NA,NA,NA,NA
"140281201","2012",0,NA,NA,NA,NA,NA,NA
"140281202","2012",0,0,0,NA,NA,NA,NA
"140281246","2012",7376.9,13000,5623.1,NA,NA,NA,NA
"140291902","2012",2000,0,-2000,NA,NA,NA,NA
"140335601","2012",NA,NA,NA,NA,NA,NA,NA
"140335905","2012",580.8,0,-580.8,NA,NA,NA,NA
"140353306","2012",NA,NA,NA,NA,NA,NA,NA
"140363313","2012",0,2000,2000,NA,NA,NA,NA
"140368501","2012",269.6,0,-269.6,NA,NA,NA,NA
"140368502","2012",0,1000,1000,NA,NA,NA,NA
"140453401","2012",41.5,358.7,317.2,NA,NA,NA,NA
"140453402","2012",0,41.3,41.3,NA,NA,NA,NA
"140453501","2012",0,0,0,NA,NA,NA,NA
"140468502","2012",250,500,250,NA,NA,NA,NA
"140551101","2012",15.7,NA,NA,NA,NA,NA,NA
"140551701","2012",40,NA,NA,NA,NA,NA,NA
"140552501","2012",4.6,NA,NA,NA,NA,NA,NA
"140552701","2012",15.9,NA,NA,NA,NA,NA,NA
"140553301","2012",139.2,NA,NA,NA,NA,NA,NA
"140553501","2012",1,NA,NA,NA,NA,NA,NA
"140581201","2012",2028.7,NA,NA,NA,NA,NA,NA
