"Ursprung","Titel","Jahr","Wert","Art","Kommentar"
"KI System",140263102,2021,1904.5,"Soll",""
"KI System",140281246,2019,-8884.5,"Diff",""
"KI System",140281246,2019,15614,"Ist",""
"KI System",140281246,2018,8462.7,"Ist",""
"KI System",140281246,2017,-117.5,"Diff",""
"KI System",140335601,2018,800,"Diff",""
"KI System",140335601,2018,200,"Ist",""
"KI System",140335601,2021,0,"Soll",""
